,Domain,Element,Item,Year,Unit,Value
25,Land Cover,Area from CCI_LC,Artificial surfaces ,1992,1000 ha,127.173
26,Land Cover,Area from CCI_LC,Artificial surfaces ,1993,1000 ha,129.6783
27,Land Cover,Area from CCI_LC,Artificial surfaces ,1994,1000 ha,131.8988
28,Land Cover,Area from CCI_LC,Artificial surfaces ,1995,1000 ha,134.0437
29,Land Cover,Area from CCI_LC,Artificial surfaces ,1996,1000 ha,136.2236
30,Land Cover,Area from CCI_LC,Artificial surfaces ,1997,1000 ha,138.3278
31,Land Cover,Area from CCI_LC,Artificial surfaces ,1998,1000 ha,140.6587
32,Land Cover,Area from CCI_LC,Artificial surfaces ,1999,1000 ha,143.3791
33,Land Cover,Area from CCI_LC,Artificial surfaces ,2000,1000 ha,146.8901
34,Land Cover,Area from CCI_LC,Artificial surfaces ,2001,1000 ha,148.1631
35,Land Cover,Area from CCI_LC,Artificial surfaces ,2002,1000 ha,149.3082
36,Land Cover,Area from CCI_LC,Artificial surfaces ,2003,1000 ha,150.1685
37,Land Cover,Area from CCI_LC,Artificial surfaces ,2004,1000 ha,152.296
38,Land Cover,Area from CCI_LC,Artificial surfaces ,2005,1000 ha,153.7027
39,Land Cover,Area from CCI_LC,Artificial surfaces ,2006,1000 ha,157.1672
40,Land Cover,Area from CCI_LC,Artificial surfaces ,2007,1000 ha,160.6549
41,Land Cover,Area from CCI_LC,Artificial surfaces ,2008,1000 ha,163.631
42,Land Cover,Area from CCI_LC,Artificial surfaces ,2009,1000 ha,166.5781
43,Land Cover,Area from CCI_LC,Artificial surfaces ,2010,1000 ha,169.5252
44,Land Cover,Area from CCI_LC,Artificial surfaces ,2011,1000 ha,172.7455
45,Land Cover,Area from CCI_LC,Artificial surfaces ,2012,1000 ha,176.2739
46,Land Cover,Area from CCI_LC,Artificial surfaces ,2013,1000 ha,182.3193
47,Land Cover,Area from CCI_LC,Artificial surfaces ,2014,1000 ha,188.3878
48,Land Cover,Area from CCI_LC,Artificial surfaces ,2015,1000 ha,192.079
49,Land Cover,Area from CCI_LC,Artificial surfaces ,2016,1000 ha,192.3289
50,Land Cover,Area from CCI_LC,Artificial surfaces ,2017,1000 ha,197.4035
51,Land Cover,Area from CCI_LC,Artificial surfaces ,2018,1000 ha,201.0424
52,Land Cover,Area from CCI_LC,Artificial surfaces ,2019,1000 ha,206.6808
53,Land Cover,Area from CCI_LC,Artificial surfaces ,2020,1000 ha,206.7447
79,Land Cover,Area from CCI_LC,Herbaceous crops,1992,1000 ha,6189.2375
80,Land Cover,Area from CCI_LC,Herbaceous crops,1993,1000 ha,5991.3584
81,Land Cover,Area from CCI_LC,Herbaceous crops,1994,1000 ha,5850.6094
82,Land Cover,Area from CCI_LC,Herbaceous crops,1995,1000 ha,5355.4969
83,Land Cover,Area from CCI_LC,Herbaceous crops,1996,1000 ha,5865.2322
84,Land Cover,Area from CCI_LC,Herbaceous crops,1997,1000 ha,5907.645
85,Land Cover,Area from CCI_LC,Herbaceous crops,1998,1000 ha,5815.1746
86,Land Cover,Area from CCI_LC,Herbaceous crops,1999,1000 ha,5837.6952
87,Land Cover,Area from CCI_LC,Herbaceous crops,2000,1000 ha,6236.4192
88,Land Cover,Area from CCI_LC,Herbaceous crops,2001,1000 ha,5930.2888
89,Land Cover,Area from CCI_LC,Herbaceous crops,2002,1000 ha,5971.8797
90,Land Cover,Area from CCI_LC,Herbaceous crops,2003,1000 ha,6112.2598
91,Land Cover,Area from CCI_LC,Herbaceous crops,2004,1000 ha,6180.7854
92,Land Cover,Area from CCI_LC,Herbaceous crops,2005,1000 ha,5731.9294
93,Land Cover,Area from CCI_LC,Herbaceous crops,2006,1000 ha,5769.5392
94,Land Cover,Area from CCI_LC,Herbaceous crops,2007,1000 ha,5678.6814
95,Land Cover,Area from CCI_LC,Herbaceous crops,2008,1000 ha,5341.8846
96,Land Cover,Area from CCI_LC,Herbaceous crops,2009,1000 ha,5330.472
97,Land Cover,Area from CCI_LC,Herbaceous crops,2010,1000 ha,5289.3697
98,Land Cover,Area from CCI_LC,Herbaceous crops,2011,1000 ha,4677.6456
